id,group,question,option 1,option 2,option 3,option 4,correct a,difficulty,correct
1,תחבורה,באיזו מדינה נוהגים בצד שמאל של הכביש?,צרפת,ארה״ב,מלטה,בכולן נוהגים בימין,מלטה,2,2
2,תחבורה,כולם פה נוהגים בצד שמאל של הכביש! איפה אני נמצא? ,מלטה,דרום אפריקה,אוסטרליה,אי אפשר לדעת,אי אפשר לדעת,2,3
3,תחבורה,כולם פה נוהגים בצד שמאל של הכביש! איפה אני לא נמצא? ,שוויץ,יפן,הודו,בכולן נוהגים בשמאל,שוויץ,2,0
4,תזונה ובריאות,באיזה מהמאכלים הבאים יש הכי הרבה ברזל (לכמות של 100 גרם)?,עדשים מבושלות,כבד עוף,תרד מבושל,בקר טחון,כבד עוף,2,1
5,תזונה ובריאות,איזה מהמאכלים הבאים עשיר ביותר בויטמין C (לכמות של 100 גרם)?,תפוז,פלפל אדום,קיווי,ברוקולי מבושל,פלפל אדום,4,1
6,תזונה ובריאות,איזה מהמאכלים הבאים הוא מקור מצוין לחומצות שומן אומגה 3?,סלמון,עוף,אבוקדו,יוגורט,סלמון,2,0
7,תזונה ובריאות,איזה מהמזונות הבאים עשיר ביותר בסידן?,טחינה משומשום מלא,יוגורט טבעי,שקדים,תרד מבושל,טחינה משומשום מלא,2,0
8,תזונה ובריאות,"איזה מהמשקאות הבאים מכיל הכי הרבה קפאין ל-100 מ""ל?",קולה,תה ירוק,תה שחור,אספרסו,אספרסו,2,3
9,תזונה ובריאות,נכון או לא נכון: פחית קולה רגילה מכילה יותר קפאין מאספרסו קצר.,נכון,לא נכון,,,לא נכון,3,1
10,תזונה ובריאות,נכון או לא נכון: בגזר מבושל יש יותר בטא-קרוטן מאשר בגזר חי.,נכון,לא נכון,,,נכון,2,0
11,תזונה ובריאות,נכון או לא נכון: שתיית מים עם לימון שורפת שומן.,נכון,לא נכון,,,לא נכון,2,1
12,תזונה ובריאות,נכון או לא נכון: ב-100 גרם שקדים יש יותר סידן מאשר ב100 גרם יוגורט טבעי.,נכון,לא נכון,,,נכון,3,0
13,תזונה ובריאות,"בכמות של 100 גרם, באיזה מזון יש יותר חלבון?",ביצה קשה,עדשים מבושלות,,,ביצה קשה,3,0
14,תזונה ובריאות,"בכמות של 100 גרם, באיזה מזון יש יותר ויטמין C?",פלפל אדום טרי,תפוז,,,פלפל אדום טרי,2,0
15,תזונה ובריאות,"בכמות של 100 גרם, באיזה מזון יש הכי הרבה סיבים תזונתיים?",אבוקדו,אורז מלא,לחם שיפון מלא,אגסים (עם קליפה),אבוקדו,4,0
16,תזונה ובריאות,"בכמות של 100 גרם, איזה מהמזונות מכיל הכי הרבה שומן רווי?",חמאה,שמן קוקוס,גבינה צהובה,בשר בקר שומני,שמן קוקוס,3,1
